Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
74,2,2,2,2,2,2,2,0,0,0,8,0,8,8,8,8,2,2,2,2,2,8,8,2,2,8,8,0,0,8,0,8,8,0,0,8,8,8,0,0,8,8,8,0,8,8,2,2,2,2,2,2,2,2,2,2,2,210
75,0,0,0,0,0,0,0,6,0,0,0,6,6,4,0,6,4,4,4,6,4,0,0,6,0,6,4,4,0,0,6,4,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,104
76,8,8,2,8,2,2,0,0,0,8,2,8,0,8,2,2,0,0,8,8,2,8,8,8,8,2,2,8,2,8,2,8,0,0,0,8,2,8,8,2,0,8,8,8,2,8,0,8,2,0,0,8,2,2,8,8,2,244
77,2,2,2,2,2,4,0,0,4,0,6,0,0,4,0,6,0,0,4,6,4,0,0,4,4,4,4,4,6,0,0,4,4,0,0,4,0,0,4,4,4,0,0,4,0,0,4,0,0,4,0,0,4,4,4,4,4,130
78,6,0,0,0,6,0,6,0,0,0,6,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,68
79,0,0,8,8,0,0,8,8,8,0,0,0,8,8,6,6,0,6,6,8,0,0,8,0,6,0,0,0,8,0,0,0,8,0,0,8,8,8,0,0,0,0,8,8,8,0,0,8,8,0,0,8,0,0,8,0,0,198
80,2,2,2,0,0,0,0,6,0,0,6,0,0,6,6,8,0,0,0,6,0,0,6,8,8,8,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,0,6,8,8,0,0,0,0,6,8,6,134
81,0,0,0,0,0,6,6,4,0,6,4,0,6,0,6,4,4,0,0,0,0,6,4,4,0,0,6,0,0,0,0,0,0,0,6,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,4,0,0,106
82,2,2,2,2,2,0,8,8,8,8,8,8,8,8,0,0,0,8,8,8,8,0,8,0,8,0,0,8,8,8,0,0,8,0,8,0,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,222
83,6,2,2,2,2,2,2,2,0,0,2,0,0,2,0,6,2,6,0,0,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,6,0,0,2,0,0,2,2,2,2,2,2,98
84,6,8,6,0,0,0,6,8,0,0,0,6,6,8,0,0,0,0,0,6,8,0,0,0,0,0,6,0,8,0,0,0,0,6,8,0,0,0,6,8,0,0,0,6,8,0,8,0,0,0,0,0,0,0,0,0,6,138
